"","strictfdom","corrected_species_id","n()"
"1","1","Alouatta_caraya",1
"2","1","Alouatta_palliata",4
"3","1","Alouatta_pigra",1
"4","1","Alouatta_seniculus",1
"5","1","Ateles_belzebuth",1
"6","1","Ateles_geoffroyi",3
"7","1","Ateles_hybridus",2
"8","1","Cebus_capucinus",1
"9","1","Cercocebus_atys",4
"10","1","Cercocebus_torquatus",1
"11","1","Cercopithecus_campbelli",1
"12","1","Cercopithecus_petaurista",1
"13","1","Cercopithecus_solatus",1
"14","1","Chlorocebus_pygerythrus",1
"15","1","Erythrocebus_patas",1
"16","1","Gorilla_beringei",2
"17","1","Gorilla_gorilla",1
"18","1","Lagothrix_lagotricha",1
"19","1","Lagothrix_poeppigii",1
"20","1","Macaca_arctoides",1
"21","1","Macaca_fascicularis",3
"22","1","Macaca_fuscata",4
"23","1","Macaca_maura",1
"24","1","Macaca_mulatta",2
"25","1","Macaca_radiata",1
"26","1","Macaca_silenus",1
"27","1","Macaca_sinica",1
"28","1","Macaca_sylvanus",7
"29","1","Macaca_thibetana",2
"30","1","Macaca_tonkeana",1
"31","1","Mandrillus_sphinx",2
"32","1","Miopithecus_talapoin",1
"33","1","Nasalis_larvatus",1
"34","1","Pan_troglodytes",2
"35","1","Papio_anubis",2
"36","1","Papio_cynocephalus",2
"37","1","Papio_hamadryas",3
"38","1","Papio_ursinus",3
"39","1","Presbytis_thomasi",3
"40","1","Pygathrix_nemaeus",1
"41","1","Rhinopithecus_bieti",1
"42","1","Saguinus_imperator",1
"43","1","Saguinus_mystax",2
"44","1","Saimiri_sciureus",1
"45","1","Theropithecus_gelada",1
"46","1","Trachypithecus_cristatus",1
"47","1","Trachypithecus_obscurus",2
"48","2","Aotus_azarae",1
"49","2","Ateles_belzebuth",1
"50","2","Brachyteles_arachnoides",1
"51","2","Cacajao_calvus",1
"52","2","Cacajao_melanocephalus",1
"53","2","Cacajao_ouakary",2
"54","2","Callicebus_coimbrai",1
"55","2","Callicebus_cupreus",1
"56","2","Callicebus_moloch",1
"57","2","Callimico_goeldii",1
"58","2","Callithrix_flaviceps",1
"59","2","Callithrix_jacchus",2
"60","2","Callithrix_penicillata",1
"61","2","Cebuella_pygmaea",1
"62","2","Cebus_albifrons",1
"63","2","Cebus_capucinus",3
"64","2","Cebus_olivaceus",1
"65","2","Cercopithecus_diana",1
"66","2","Chiropotes_sagulatus",2
"67","2","Chlorocebus_pygerythrus",8
"68","2","Erythrocebus_patas",3
"69","2","Eulemur_coronatus",1
"70","2","Eulemur_fulvus",1
"71","2","Eulemur_macaco",1
"72","2","Eulemur_rubriventer",1
"73","2","Eulemur_rufifrons",1
"74","2","Gorilla_beringei",2
"75","2","Hapalemur_alaotrensis",1
"76","2","Hapalemur_griseus",1
"77","2","Lagothrix_lagotricha",1
"78","2","Leontocebus_fuscicollis",1
"79","2","Leontocebus_weddelli",1
"80","2","Leontopithecus_chrysomelas",1
"81","2","Leontopithecus_rosalia",3
"82","2","Lepilemur_ruficaudatus",1
"83","2","Lophocebus_ougandae",1
"84","2","Macaca_arctoides",1
"85","2","Macaca_assamensis",2
"86","2","Macaca_cyclopis",1
"87","2","Macaca_fascicularis",3
"88","2","Macaca_fuscata",1
"89","2","Macaca_mulatta",2
"90","2","Macaca_nemestrina",1
"91","2","Macaca_radiata",2
"92","2","Macaca_tonkeana",1
"93","2","Microcebus_bongolavensis",1
"94","2","Microcebus_lehilahytsara",2
"95","2","Microcebus_margotmarshae",1
"96","2","Microcebus_murinus",2
"97","2","Microcebus_myoxinus",1
"98","2","Microcebus_ravelobensis",2
"99","2","Miopithecus_talapoin",5
"100","2","Pan_paniscus",3
"101","2","Papio_papio",2
"102","2","Perodicticus_edwardsi",1
"103","2","Pithecia_aequatorialis",1
"104","2","Pithecia_pithecia",1
"105","2","Propithecus_coronatus",3
"106","2","Propithecus_diadema",1
"107","2","Propithecus_verreauxi",1
"108","2","Saguinus_bicolor",1
"109","2","Saguinus_imperator",1
"110","2","Saguinus_mystax",3
"111","2","Saimiri_collinsi",1
"112","2","Saimiri_oerstedii",1
"113","2","Sapajus_apella",4
"114","2","Sapajus_cay",1
"115","2","Sapajus_libidinosus",2
"116","2","Varecia_variegata",1
"117","3","Avahi_occidentalis",1
"118","3","Daubentonia_madagascariensis",1
"119","3","Eulemur_flavifrons",1
"120","3","Hapalemur_meridionalis",1
"121","3","Indri_indri",2
"122","3","Lemur_catta",3
"123","3","Leontocebus_tripartitus",1
"124","3","Lepilemur_leucopus",1
"125","3","Loris_lydekkerianus",1
"126","3","Microcebus_danfossi",1
"127","3","Microcebus_mamiratra",1
"128","3","Microcebus_murinus",1
"129","3","Miopithecus_talapoin",3
"130","3","Phaner_pallescens",1
"131","3","Propithecus_coquereli",2
"132","3","Propithecus_diadema",2
"133","3","Propithecus_edwardsi",1
"134","3","Propithecus_verreauxi",4
"135","3","Saimiri_boliviensis",1
"136","3","Saimiri_sciureus",1
"137","3","Varecia_rubra",3
"138","3","Varecia_variegata",2
